Designator,Mid X,Mid Y,Rotation,Layer
C1,187.0,-94.25,180.0,top
C10,173.0,-92.5,270.0,top
C11,130.0,-120.25,180.0,bottom
C12,156.0,-120.0,180.0,bottom
C13,166.5,-120.0,180.0,bottom
C14,142.25,-109.0,180.0,top
C15,143.25,-111.0,0.0,top
C16,183.0,-116.75,90.0,top
C17,194.5,-124.25,90.0,top
C18,161.25,-109.75,270.0,top
C19,137.5,-99.5,90.0,top
C2,194.0,-91.75,0.0,top
C20,178.25,-105.5,0.0,top
C21,162.75,-100.0,90.0,top
C22,122.25,-108.25,180.0,top
C23,159.07967,-112.25,0.0,top
C24,155.5,-110.25,270.0,top
C25,145.051748,-106.971972,270.0,top
C26,147.392072,-106.966292,270.0,top
C27,154.25,-112.75,90.0,top
C28,151.75,-66.25,270.0,top
C29,151.75,-64.0,270.0,top
C3,196.5,-105.75,270.0,top
C30,151.75,-61.75,90.0,top
C31,121.72,-118.52,90.0,top
C32,138.75,-124.5,0.0,top
C33,158.33,-126.97,0.0,top
C34,178.0,-122.0,0.0,top
C35,188.5,-109.5,0.0,top
C4,196.25,-102.25,90.0,top
C6,123.0,-120.75,0.0,bottom
C7,149.75,-120.5,0.0,bottom
C8,160.670785,-120.47104,0.0,bottom
C9,187.25,-91.0,90.0,top
CN1,114.295,-91.004991,90.0,top
CN2,195.0,-145.0,180.0,bottom
CN3,195.0,-55.0,180.0,bottom
CN4,105.0,-145.0,180.0,bottom
CN5,105.0,-55.0,180.0,bottom
CN6,180.0,-135.0,0.0,top
CN7,120.0,-135.0,0.0,top
D1,180.67,-68.75,90.0,top
D2,183.71,-68.75,90.0,top
D3,186.75,-68.75,90.0,top
D4,178.75,-117.5,180.0,top
J1,150.0,-138.5,0.0,top
J2,138.4,-65.58,0.0,top
J3,108.875,-127.5625,270.0,top
J4,195.0,-65.5,0.0,top
J6,108.875,-110.8125,270.0,top
JP4,116.25,-119.0,180.0,top
L2,185.75,-125.0,270.0,top
NT1,139.5,-119.0,90.0,top
NT2,141.5,-119.600917,270.0,top
NT3,170.753806,-112.787313,180.0,top
Q10,147.282501,-125.037501,180.0,top
Q11,163.75,-125.75,90.0,top
Q12,170.25,-124.75,180.0,top
Q7,127.59,-125.89,90.0,top
Q8,133.999524,-124.75,180.0,top
Q9,154.0,-125.0,0.0,top
R1,136.25,-119.0,0.0,top
R10,150.5,-61.75,90.0,top
R11,182.25,-69.25,90.0,top
R12,185.25,-69.25,90.0,top
R13,188.5,-69.25,90.0,top
R14,180.5,-115.0,0.0,top
R15,182.49,-115.0,0.0,top
R16,178.25,-67.5,180.0,top
R17,142.75,-58.25,270.0,top
R18,114.74,-114.5,0.0,top
R19,114.74,-115.5,0.0,top
R2,145.0,-119.6,180.0,top
R20,114.74,-116.5,0.0,top
R21,150.5,-64.0,270.0,top
R22,150.5,-66.25,270.0,top
R23,164.25,-80.5,180.0,top
R24,178.25,-70.0,180.0,top
R26,153.26,-67.3,180.0,top
R27,153.26,-69.29,180.0,top
R28,153.26,-71.28,180.0,top
R29,153.26,-73.27,180.0,top
R3,170.75,-116.0,90.0,top
R30,153.26,-75.26,180.0,top
R31,153.26,-77.25,180.0,top
R32,171.0,-80.0,90.0,top
R35,129.25,-117.25,90.0,top
R36,140.5,-132.0,0.0,top
R37,159.74,-134.5,0.0,top
R38,175.75,-124.0,90.0,top
R39,173.5,-79.99,270.0,top
R4,192.25,-81.5,90.0,top
R40,172.25,-79.99,270.0,top
R5,191.0,-88.5,90.0,top
R6,189.0,-86.99,270.0,top
R7,189.0,-84.99,90.0,top
R8,179.75,-74.25,180.0,top
R9,181.75,-66.0,90.0,top
SW1,186.69,-62.0,270.0,top
SW2,180.75,-62.0,270.0,top
SW3,192.5,-97.0,0.0,top
TP18,123.25,-92.0,0.0,top
TP19,197.0,-118.75,0.0,top
TP20,111.75,-143.25,0.0,top
TP24,163.5,-109.25,0.0,top
TP25,183.75,-96.25,0.0,top
TP26,194.75,-133.5,0.0,top
TP27,128.25,-92.0,0.0,top
U1,167.0,-67.5,0.0,top
U10,158.75,-130.75,270.0,top
U11,178.25,-125.75,270.0,top
U2,149.484524,-112.625,0.0,top
U3,191.0,-86.0,180.0,top
U4,180.25,-88.75,0.0,top
U5,191.0,-104.5,180.0,top
U6,188.4975,-114.9,0.0,top
U7,158.25,-109.75,0.0,top
U8,125.5,-118.0,0.0,top
U9,139.5,-128.25,270.0,top
USB1,194.925,-86.0055,90.0,top
