Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C9",0603,3,100nF,
"C11, C12, C13",1210,3,4.7uF 100V,
C14,0603,1,47nF,
"C15, C25, C26",1206,3,1uF,
C16,0402,1,33nF,
C17,C_Elec_6.3x7.7,1,100uF 16v,EEEFPV101XAP
"C18, C23, C4",0603,3,10uF,
"C19, C20, C21, C22",CAP-TH_BD16.0-P7.50-D1.2-FD,4,470uF 100V,C18164658
C2,1206,1,10uF,
C24,0402,1,100nF,
C27,0402,1,.1uF,
"C28, C29, C30",0402,3,1nF,
C3,0603,1,22uF,
"C31, C32, C33, C34",0402,4,0.1uF,
C35,1210,1,2.2uF,
"C6, C7, C8",1206,3,2.2uF 100V,
CN1,CONN-TH_XT90PW-M.G.Y,1,XT90PW-M.G.Y,C3040689
"CN2, CN3, CN4, CN5, CN6, CN7",M3-TH_BD6.0-D4.3,6,SMTSOM330BTR,C5221843
D1,0805,1,blue,
D2,0805,1,green,
D3,0805,1,red,
D4,D_SMA,1,SS310,
J1,3PhaseMotorPigtail,1,MotorOut,
J2,PinSocket_1x09_P2.54mm_Vertical_SMD_Pin1Left,1,Wiz5500-Coprocessor-BoB,
"J3, J6",JST_XA_B05B-XASK-1-A_1x05_P2.50mm_Vertical,2,Conn_01x05,
J4,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
L2,IND-SMD_L10.0-W10.0_SRU1038-100Y,1,100uH 1A,C6684389
"Q10, Q11, Q12, Q7, Q8, Q9",PG-TDSON-8_L5.9-W5.1-P1.27-LS6.1-BL,6,ISC0802NLSATMA1,C3288904
"R1, R2, R3",RES-SMD_L6.3-W3.1-1,3,1.0mΩ,C41382682
"R10, R21, R22",0402,3,100R,
"R11, R12, R13",0402,3,5k,
R14,0402,1,30k 1%,
R15,0402,1,10k 1%,
"R16, R17, R18, R19, R20, R23, R24, R26, R27, R28, R29, R30, R31, R32, R35, R36, R37, R38, R39, R40",0402,20,10k,
"R4, R5, R8, R9",0402,4,5k1,
"R6, R7",0402,2,0,
"SW1, SW2",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPACE010,C139797
SW3,SW-SMD_MST22D18G2,1,DPDT,C2906280
"TP18, TP19, TP20, TP24, TP25, TP26, TP27",TestPoint_Pad_D2.0mm,7,TestPoint,
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913205
"U10, U11, U8, U9",TSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,4,"LM75ADP,118",C843694
U2,WQFN-40_L6.0-W6.0-P0.50-TL-EP4.2,1,DRV8353SRTAT,C2150480
U3,SOT-666,1,USBLC6-2P6,
U4,SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,1,ADUM3160BRWZ-RL,C284149
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U6,TO-252-5_L6.6-W5.8-P1.27-TL,1,XL7015E1,C73013
U7,SOT-23-6,1,REF35160QDBVR,
USB1,USB-C-SMD_TYPEC-303-ACP16,1,TYPEC-303-ACP16,C720628
